50.YIL BLOKLARI-DİSPANSER ;;;;ETİLER KARACALİ CADDESİ;;
SERVİS GÜZERGAHI;;;;SERVİS GÜZERGAHI;;
HAREKET SAATİ: 07:15;;;;HAREKET SAATİ: 07:20;;
50.YIL BLOKLAR;;;;PAZARTESİ PAZARI;;
KALE OKULU;;;;ETİLER MAHALLESİ;;
DİSPANSER;;;;ÇORBACI ALİ DAYI;;
ŞADIRVAN (PERŞEMBE PAZARI);;;;NOKTA A101;;
MOTOSİKLET TAMİRCİLERİ;;;;ÇALILIÖZ KÖPRÜ ÜSTÜ;;
GÜL PASTANESİ;;;;ÇOÇUK ŞUBE (ESKİ BÖLGE TRAFİK) KARŞISI;;
BELEDİYE OTOBÜS DURAKLARI;;;;ESKİ HİLAL HASTANESİ ÖNÜ;;
TİCARET ODASI;;;;PODİUM AVM KAVŞAK;;
PTT;;;;MEZARLIKLAR;;
ESKİ REKTÖRLÜK;;;;BAĞDAT KÖPRÜ;;
BAĞDAT KÖPRÜ ;;;;FABRİKA;;
FABRİKA;;;;;;
;;;;;;
;;;;;;
OSMANGAZİ-ÇARŞI MERKEZ;;;;BAHÇELİEVLER-KARŞIYAKA MAHALLESİ;;
SERVİS GÜZERGAHI;;;;SERVİS GÜZERGAHI;;
HAREKET SAATİ: 07:15;;;;HAREKET SAATİ: 07:20;;
MERSAN;;;;BAHÇELİEVLER ESKİ TERMİNAL GİRİŞİ;;
ERGENEKON SİTESİ;;;;AYBİMAŞ;;
TRAFİK EĞİTİM YOLU;;;;BAHÇELİEVLER SAĞLIK OCAĞI;;
HALI SAHA;;;;ORTAKLAR MARKET;;
TOPRAK YEMEK;;;;YUVA TOKİ;;
BAŞPINAR İTFAİYE KARŞISI;;;;ÇULU YOLU;;
S-OİL BENZİNLİK;;;;SALI PAZARI (KARŞIYAKA);;
AYTEMİZ BENZİNLİK;;;;KAHVELER (KARŞIYAKA);;
SANAYİ DEMİRCİLER;;;;AHILI BİLET GİŞESİ;;
İŞKUR;;;;ŞEMA KOLEJİ;;
ES BENZİNLİK (KIRGAZ);;;;FABRİKA;;
BELEDİYE TERMİNAL;;;;;;
PTT;;;;;;
İSTASYON;;;;;;
ESKİ REKTÖRLÜK;;;;;;
BAĞDAT KÖPRÜ;;;;;;
FABRİKA;;;;;;
;;;;;;
ÇALILIÖZ MAHALLESİ;;;;NENE HATUN CADDESİ;;
SERVİS GÜZERGAHI;;;;SERVİS GÜZERGAHI;;
HAREKET SAATİ: 07:25;;;;HAREKET SAATİ: 07:25;;
ÇOÇUK ŞUBE (ESKİ BÖLGE TRAFİK) ALTI NAR MARKET;;;;SAAT KULESİ-TAKSİ DURAĞI;;
TAÇ MAHAL DÜĞÜN SALONU;;;;NENE HATUN CADDESİ ;;
SÜMEZE PİDE;;;;İSTANBUL EKMEK FIRINI;;
ÇALILIÖZ KÖPRÜ ALTI;;;;PLEVNE MAHALLESİ;;
FIRINLI CAMİ;;;;ESKİ REKTÖRLÜK;;
VALİLİK ARKA GİRİŞ KAPISI ÖNÜ;;;;BAĞDAT KÖPRÜ;;
ESKİ REKTÖRLÜK;;;;FABRİKA;;
BAĞDAT KÖPRÜ;;;;;;
FABRİKA;;;;;;
